content,score,thumbsUpCount,reviewCreatedVersion
"Log in nya bisa giliran mau cek saldo ko malah gabisa trus suruh update , padahal kmren udah update skrng d update malah tidak bisa jd gimana ini kak",2,0,2.5.2
Saya pemakai kartu hallo.. Kemarin ada kesalahan sampai 3x kode akses..dan saya sekarang login ga bisa error' 103 (2) sudah tlp cs tapi tidak ada solusi,5,1,2.7.4
Login ulang harus verifikasi wajah. Selalu gagal. Mana kena biaya SMS yang seharusnya ga perlu. Bank besar tapi teknologi jaman orba. Payah!,2,0,4.1.3
Mobile Banking Saya Tidak Dapat Terhubung Dengan Alasan Jaringan Terputus Padahal Kartu Yang Digunakan Jaringannya Stabil Dan Tidak Dapat Login / Masuk / Melakukan Aktivasi Kembali,3,0,2.0.0
Saran untuk bca mobile . Lebih baik lagi kalo ada uang masuk/keluar tambahin notifikasi . Agar lebih baik . Soal nya bank² lain gitu ada notifikasi nya. Masa harus cek² mutasi terus,5,0,
Setelah update malah tidak bisa dibuka,1,0,4.4.3
Kalo bikin aplikasi yang niat ya 🙏 masak iya mbangking udah enak ehh suruh verifikasi ulang ketika diverifikasi ulang malah nggak bisa padahal kartu sim udah sim 1 malah habisin pulsa doank,1,0,2.8.5
"Duh kenapa ya lampu indikator nya merah terus, pdahal sinyal penuh, kuota ada. Ini kenapa ya min? Kmrin2 mah engga lancar jaya. Skrg2 kok begini ya",5,0,2.8.8
Nih aduh tolong dong kalo mau pemeliharaan sistem tuh kasih tau dulu kek minimal lewat sms. Ini lagi genting bgt malah pemeliharaan sistem. Orang kan jadi repot kalo mau transaksi,1,2,4.0.6
Saya ganti pin dan tiap cek di atm lancar. Tapi kenapa cek di aplikasi ini malah salah terus sampe keblokir? Padahal sudah memasukkan pin terbaru,1,0,
"pas masuk awal ada keterangan simcard yg anda gunakan tidak cocok, perasaan saya tdk pernah ganti simcard, msh tetap sama, pas mau verifikasi ulang juga tidak bisa, knapa ya? padahal lagi urgent",5,0,2.0.2
"Transaksi qris gagal 2x , tapi saldo tetap keluar malah keluarnya 3x nominal transaksi.. Oke lah bca buruk sekali",1,0,4.1.5
aman punya aplikasih ini,5,0,4.5.7
"Belum ada yang mengecewakan sih sampai saat ini, memudahkan transaksi, palingan design nya ga pernah update, jadi bosen! Mana nih admin BCA nya, seperti tidak ada inovasi baru? 🙏",5,0,4.0.3
"Login saya sendiri, KTP saya sendiri, wajah saya sendiri, tapi engga bisa masuk, katanya otentikasi salah, sing salah Ki sistemmu baca wajah seseorang, it .nya kurang cnggih",3,0,
"Minta tolong sekali, saya mau aktivasi kok susah sekali, udah kirim SMS sesuai arahan gak ada tanggapan nomor Cs nya ditelpon gabisa, gimana sih?",3,1,4.0.7
"tiba2 logout sendiri.. suruh verivikasi ulang.. tapi setelah di maasukan 16 angka Atm cum a muter2 aj buffeering ga jelas.. solusi nya gmn ya.. hp saya xiomi.,",1,0,2.0.3
tolong ini apk force close teruss padahal sudah update terbaru,1,0,4.4.3
"Dear Bca, kenapa mobile banking sering minta di update, setelah di update ternyata malah gagal terus, jadi buat transaksi pun gagal terus",2,0,2.8.0
Dari kemaren gk bisa nambahin daftar transfer. Padahal udh dan pulsa sinyal jg bagus. Tp koneksi putus,1,0,1.6.1
mau tanya dong ko mau transfer daftarin no rek ga bisa ya muter2 trs ada tulisan koneksi internet pdahl internet jaringanya bagus untuk cek saldo bayar shopee bisa cuma transfer susah,4,0,1.6.1
"Mohon selagi jam sibuk jangan lakukan peng update an atau apapun semacam nya, Lakukan lah update pada dini hari ketika tidak banyak orang menggunakan aplikasi nya, !!",4,0,2.7.7
Udh di update terus maumasuk masukin no ATM sudah kirim SMS sudah tpi tidak bisa juga emang di pikir kirim sms geratis apa udh 4x ttp aja gk bisa masuk... Kecewaaaaa,1,0,2.5.3
"Ini aplikasi kenapa ya, mau cek saldo aja nggak bisa. Suruh update, giliran klik update Murat muter bolak balik doang. Nggak biasa biasanya kaya gini.",3,0,2.9.0
Baru beberapa hari di upgrade. Masa minta upgrade lg dlm seminggu bisa 2x. Gak recomend bgt si paraahh inii,1,0,2.5.2
"Ini kenapa si baru di-update bukannya tmbah lancar transaksi nya malah sering gangguan, update bukannya untuk memperbaiki yg jelek bukan tmbah jelek😭",1,0,4.1.8
"Aplikasi yg mudah dan memudahkan. Sekedar saran, mohon bisa ditambahkan pengaman berlapis saat login, utk mengantisipasi penyalahgunaan akun. Mhn maaf, bisa dikomparasikan dgn bank yg dr Hongkong itu 😁. Terimakasih untuk BCA, semoga bisa dipertahankan layanan yg sdh baik ini, dan menjadi semakin maju. Terima kasih",5,59,2.7.5
"Sekarang inbox transaksi gak bisa di hapus, jadi terlalu bahaya untuk yang udah berumah tangga khususnya 🙏😁",1,0,4.5.0
"5 kali saya coba daftar dengan masukkan 16 digit nomor, begitu terima sms untuk kembali ke mbca tetap saja tampilan nya ke home🤦🏼‍♂️, tidak bisa masuk ke tahap selanjutnya.., mohon pencerahannya",2,0,2.7.5
Saldo tiba tiba kosong kenapa yh. setiap gajian kalo g diambil semua pasti besoknya langsung ilang. Tidak ada saldo satupun .padahal selalu ada saldonya kalo ke atm,3,0,4.1.3
bca mobile kenapa jadi gini ya saya mau verifikasi wajah selalu gagal padahal sudah sesuai intruksi sudah menghubungi hallo bca 1500888 tapi tidak bisa diakses juga sampai sekarang wkwkw,3,1,4.2.1
Admin sy mo tnya .?sy mau verifikasi kok gagal trus ya .. sampai hbisin pulsa buat sms tp gagal trus.padahal koneksinya bagus tp kok gak bisa trus...,3,0,2.5.9
Update terbaru kurang memuaskan karena kalau paste nominal ada angka yg tertinggal. Takutnya tranfer dengan kode unik tidak berhasil diproses oleh penerima karena nominal berbeda,2,0,2.7.9
Ganti hp verifikasi data g bisa trs,1,0,4.5.9
"Blm ada sebulan dah suruh upgrade lg Sekarang malah transaksi tidak dapat diproses ,ini Uda ke cs bca jg nga ada kejelasan katanya suruh nunggu lah ,jaringan ngak stabillah ,gmn ini bca",1,1,4.1.3
"Terlalu banyak update, dan sifatnya memaksa. Disaat butuh transaksi kepepet tidak bisa diandalkan. Tolong perbaiki lagi pelayanannya. Belajar dari bank lain yang sudah lebih baik",2,0,
"Data tidak sesuai terus,, harus uninstal trus instal ulang. Bisa tapi inbox transfer jadi hilang juga. Mohon diperbaiki",1,0,
Mohon bantuanya min saya kan sebelum nya udh pernah download aplikasi ini nah saya restart hp saya jdi otomatis saya hrus download ulanh ya.. Dan saya udh masukan nmr kartu Atm saya pas mau vervifikasi pesan selalu gagal knp ya min? Padahal saya udh isi pulsa jg yg 10k,2,0,2.8.8
Kenapa saya tidak bisa dan gagal kirim sms aktivasi m banking? Padahal pulsa ada dan jaringan internet stabil?? Apa karena aplikasi ini sekarang tidak ada izin akses sms'nya?? Tolong bantuanya,3,0,2.8.0
Error ga bisa dibuka di infinix,1,0,4.4.3
"Tidak bisa di gunakan, biasanya bisa kemudian tiba tiba error minta verifikasi dari awal tapi tidak bisa,.sudah hubungi hallo bca berulang kali dan mengikuti sarannya tetap ndak bisa. Mohon di perbaiki",2,0,1.5.5
"APLIKASI payah, cuman ngerjain nasabah, di bilang harus sesui KTP nama yang baru malah nama yang lama. CS nya gak bisa lihat KTP. Bloon banget udah video call di bilang harus sesuai KTP malah gak sesuai. Kalo gak bisa kerja jangan kerja. Masa saya di cianjur harus pergi ke bangung buat betulin Nama saja. Udah jelas KTP saat ini posisi cianjur. PAYAH BANGET KERJAANNYA.",1,0,
"Baru update tgl 20 mei dah harus update lgi mending klo jaringan lgi bagus klo gk kan terhambat mo transaksi jg,,,penting kelancaran transaksi nasabah apa ke untungan dari update???",1,0,2.5.2
Setelah di update malah gak bisa dibuka,1,0,4.4.3
Masak hbis update malah gak bisa masuk bangking malah terkeluar sendiri trus merugikan sekali untuk penguna,1,0,4.5.0
selamat pagi saya mau tanya. kenapa setelah di update indikator aplikasi mbanking saya selalu warna biru? padahal sebelum di update tidak ada masalah. jadi saya kesulitan untuk cek saldo,2,0,1.7.1
"Ini gimana sih saya mau masuk,udah masukin no kartu atm juga,udah kirim sms verifikasi juga ko malah gak bisa,malah bilangnya koneksi internet saya putus,padahal dari tadi jaringan 4g saya lancar bgt,gak bener nih",1,0,2.9.1
"Kenapa saya tidak bisa masuk ya, pdhal sudah sesuai instruksi yang di kasih tau sama pihak bank, keterangan nya saat ini transaksi tidak bisa diproses, masuk aja belum baru mau daftar MBca, tolong solusi nya",5,5,2.7.4
"App bagus, untuk saat ini sangat membantu dalam beberapa proses membuat transaksi lebih cepat, Overall Mantab!!!",5,0,2.7.6
"Perasaan kemarin baru di update, itupun transaksi jadi lama. Hari ini mau transaksi harus update lagi? Kayanya bukan semakin bagus, tapi semakin ngga stabil untuk versi yang baru. Mohon diperbaiki lagi",2,6,2.9.0
Untuk yang gagal aktivitas sms saat verifikasi yang harus dilakukan download apk bca mobile yang versi 1.6.1 nanti ikuti stepnya sampai sukses setelah sukses baru update aplikasinya Terimakasih,4,0,2.2.4
"semua cara sdh dicoba dengan benar, tapi tidak berhasil sama sekali. upgrade aplikasi bukan makin bagus, malah tambah gak bisa dipake",1,0,2.0.3
"Setelah update riwayat transfer gk bisa di delete payah, liat di yt harus verifikasi ulang terus harus ngeluarin biaya (pulsa)... balikin lagi seperti sebelum nya",1,0,4.3.3
Dioperasikan lebih mudah dan praktis oleh kaum lansia,5,0,4.5.3
"Kenapa ya sekarang tidak bisa membuka apk lewat jaringan wifi padahal kemarin"" bisa tolong dong ubah seperti dulu lagi masa tidak bisa menggunakan jaringan lain HP saya jarang ada kuotanya",1,0,2.9.1
tolong customer service nya gausa ngartis kali kalo di vidcall buat syarat masuk mbanking,3,0,4.5.9
Pembaruan malah tidak bisa dibuka versi android 8.0 bagaimana solusinya sangat mengecewakan,1,0,4.0.3
"Dari dlu suka pake mbca, tpi dlam 2 minggu ini udah 4x verifikasi ulang gara2 error. Jadi ngabisin pulsa dan menyita waktu pas mau pake harus verifikasi ulang",1,0,2.5.3
"gak bs ya buka rekening yg kedua kalinya di mbca,kata csnya wktu vidio call buat apa buat lagi kalo yang baru masih bisa di pake ,nah saya mau buka rekening buat nabung,rekening yg pertama buat transaksi di akun ollshop,saya di bikin bingung sama cs nya vidio call ditanya in buat ap bikin rekening baru kalo yg prtama masih bs di pake ,mutar mutar mulu,",2,0,
"Kenapa ya dari bln kemarin mau ngisi pulsa lewat bca mobile kok selalu gagal padahal udah di update juga kok tetap gk bisa di pakek isi pulsa gt,,,",3,0,2.4.2
"Ini kenapa sih dari kemarin tidak bisa daftar no Rekening lain, sudah dicopot dan instal kembali alhasil pendftarn nomor kartu ATM ditolak mulu, mohon solusinya dong, Sudah 2hari error terima kasih",5,0,1.6.1
Buruan update lagi sekarang force close terus aplikasinya,1,0,4.4.3
"Aplikasi BCA mobile, sering sekali terkendala jaringan Padahal aplikasi mobile lain baik"" saja, selalu mempersulit proses pengiriman Sungguh"" sangat buruk pelayanan nya",1,0,4.2.4
"sangat membantu hanya saja setelah ada perubahan dari BCA tgl 17-7-2019 malah jadi mogok mobil banking nya dengan tulisan ""perangkat anda tidak dapat.....harap hub Hallo BCA ....",5,0,
"Maap bintang 3 dulu, soal nya lampu indikator nya merah trus, jaringan udah 4G, buka game juga lancar, kenapa saat buka BCA Mobile malah lampu nya merah trus? Mohon bantuan nya🙏",3,0,
"Saya dari kemarin mencoba membuka rekening baru lewat aplikasi BCA, sudah sampai ke tahap ketiga yaitu tahap video call sama customer servicenya BCA sudah terhubung tetapi tidak ada jawaban , kenapa ini bukan malah mempermudah kita tetapi malah membuat kita menunggu tanpa ada kepastian, mohon bantuannya.. terimakasih",1,25,2.8.4
setelah upgrade malah ngga bisa dipake...,1,0,4.4.3
"Kasih bintang 3 dulu soalnya fitur edit hapus inbox, jadi ribet, kalau mau pilih yang penting untuk disimpan malah jadinya kehapus semua",3,1,4.3.6
"Setelah di update notifikasinya ilang ya, sblmnya klo ada yg transfer ada notif..",5,0,2.8.7
"Setelah di perbaharui, malah jadi susah. di minta nomer kartu ATM, setelah di tulis, harus nunggu verifikasi via sms. tapi lamaaaaaaa buaaaangeet. dan tetap aja gak bisa.sekarang malah gak bisa di pakai...😭😭😭. gimana ini ?",1,6,2.0.0
"Masa belum apdet doang kaga bisa dipake aneh,baru kemarin kemarin minta apdet eh skrang pas mau dipake minta apdet lagi gabisa dipake ,apdet ya apdet tapi harus bisa diakses juga toh cuman beda 1versi apdetan",3,0,
"Ini kena apa lagi m BCA saya tdk bisa melakukan transaksi, sinyal full bagus tapi slalu ada tulisan TDK bisa melakukan transaksi, tolong dong di tingkatakan lagi jgn sprti ini memperlambat kinerja kita saja",1,0,
Terima kasih BCA. Semua jadi lebih mudah apapun aktifitasnya.. saya mau tanya.. m banking saya tidak bisa digunakan.. karna kartu saya hilang.. apakah saya harus ke kkc bca buat aktifasi lagi..,5,0,1.6.1
"Habis update ke 443 kok malah gak bisa dibuka, sudah normal kembali",5,1,4.5.1
"Bca selalu memberikan pelayanan terbaik nya, semakin baik dan sangat membatu aktivitas saya,dan nasabah lainya setiap saat dan waktu, tingkat kan pelayanan terbaik nya dan keamanan bagi nasabah.trimz bca",5,0,1.7.1
"So far sdh bagus banget m mobile nya,,sdh lengkap,,,tp koq buat isi flazz pakai nfc ga bisa ya? Tdk ada pilihan top up. Hanya info saldo aja",5,0,2.7.2
"update gak guna,,mau nambahin daftar transfer bank skrg jadi harus verif lewat sms,dan harus bayar pula.. gmn klo lagi urgent+pas pulsa gak ada.. woy dengerin tuhh keluhan costumer2, kamprett..!!!",1,0,
"sangat sulit untuk verifikasi wajahnya . mohon pihak aplikasi segera memperbaiki masalah scan wajah ini, sungguh sangat melelahkan melakukan verifikasi wajahnya,gak bisa-bisa pusinggggg",1,0,4.0.3
Kok makin susah ya transaksinya Makin hari makin lelet aplikasinya,3,0,4.5.1
Ini mobile banking saya sejak kemarin lampu indikatornya merah terus gak hijau2..saya gak bisa transaksi jadinya.. ini kenapa ya..?? padahal ini versinya terupdate..,3,1,2.2.5
Tolong dong di perbaiki saya mau masuk e-bengking susah banget NUnggu lampu hijau nya . Tetep aja di ulang ulang mulu tetap biru Parah gagal terus . Percuma di perbarui juga,1,0,4.1.5
"kenapaaa indikator nya merahh terussss minnnn, capekk nungguuu",2,0,4.5.7
"Knpa ini apk... Gk gmna2 tau2 suruh verifikasi ulang. Mau verifikasi ulang malah gk bisa... Di uninstal ulang gk bisa jg, pulsa ada.intermet bagus. Masa aktif jg masih lama...",3,1,4.2.6
Aplikasi tidak bisa dibuka. Force close trus,1,0,4.4.3
Susah baget verifikasi wajahnya. Gagal terus. Cape sayah ngulang-ngulang ttp gagal.,2,0,4.5.3
hallo permasalahan saya kali ini knp yah pas download app mbca tetapi ga bisa di buka selalu loading terus padahal saya udah pake 3 taun .. apakah ada settingan dri hp saya yg kehapus atau gmna mohon penjelasannya?,1,0,2.0.3
"Aku rasa sudah cukup oke.. tp bagiku kekurangan ya bagian internet aksees. Di bank"" lain bebas make sim 1 atau 2 bebas. Tp di sini bca mengharuskan sim 1 .",5,0,
"Saya mau pindah kehp baru,tapi harus verifikasi wajah tapi gagal trus,gimana sih dulu mah hanya lewat esms sekarang harus verifikasi wajah padahal nomer kartu uda saya isi tapi harus verifikasi muka uda gitu gabisa lagi hufftttt",2,0,4.1.3
Versi 4.4.3 Force Close terus. Tolong segera di Update. Hp saya Redmi Note 12 pro 5G andorid 14,1,0,4.4.3
"Mau tanya, kenapa setiap ada transferan masuk dengan jumlah yang banyak dan di potongnya juga banyak ya? Padahal tiap bulannya sudah di potong.. Gimana mau nabung kalo terus menerus di potong seperti itu. Mohon bantuannya Terimakasih",2,14,2.5.9
"sangat membantu & praktis, tapi saat di perbaharui kok saat cek saldo tidak tampil ya?? ke blok hitam gitu gak keluar",5,0,2.0.0
"Ko sinyal bagus ,koneksi terputus si , lampunya udh hijau , malah gk bisa transfer aneh bca nih ,lgi eror yaah",5,0,2.2.5
"Niat isi pulsa 50rb lewat M-banking BCA m-commerce ketika proses tiba tiba eror tapi lampu hijau, dan pulsanya belum masuk saya coba lagi sampe 3x tetap tidak masuk juga pulsanya, ketika di cek Mutasi Saldo sudah ketarik 150rb untuk pembelian pulsa 50rb sebanyak 3x dan gak ada notif berhasil. Ketika saya tanya CS BCAlewat WA tidak ada solusi, alhasil saya telfon HaloBCA 1500888 lebih dari 45mnt tidak ada solusinya sampe pulsaku habis juga, pulsa gak masuk uang hilang. 👎",1,22,2.8.8
Sangat membantu buat check saldo dan transfer tanpa harus rempong cari ATM.. Tapi tolong diperbaiki lagi supaya lemotnya bisa berkurang okey BCA mobil 👍,5,0,2.2.2
"selalu nyusahin setiap abis di update , harus regist lg lah ke ATM , kalo bisa jgn gitu lah .. di update malah bikin susah orang mau transaksi !!! buat apa di update kalau susah login",1,0,1.8.0
Saya mau dftar online gagal terus di verifikasi sms. Padahal pulsa udah cukup banget. Tlp halo bca ga ada solusi. Mohon bantuannya kak agar saya bsa buka rekening baru tp online.,3,0,2.8.0
Ampun BCA kita orang susah ambil uang duitnya gk keluar saldo berkurang...setelah bikin laporan suruh nunggu duit kembali dalam waktu 12 hari kerja..kgak akan diambil kalau kgak butuh mah..mana ngurusnya juga nyita waktu..lambat banget penanganannya padahal itu masalah jaringan dr BCA nya..kita nasabah yg dirugikan..giliran ambil pajak aja tepat waktu giliran jaringan no sekian,2,0,2.9.5
"Ini kenapa udah saya perbaruin malah minta perbaruin lagi si , mana keluar2 mulu . Padahal lagi kepepet begini malah tambah susah , tolong dong pihaknya diperbaiki biar tidak mempersulit penggunanya",1,0,2.5.1
"Setelah update aplikasi fitur tarik setor tunai tanpa kartu tidak bisa di gunakan,tolong di perbaiki fitur cardless nya",2,0,2.5.3
Aplikasi bca saya knp tidak bisa di buka lg eror atau gmn gk biasanya lo kaya gini,3,0,4.4.3
Di situ di tuliskan.. waktu mau transfer di situ di tuliskan.. maaf sistem sedang dalam gangguan.. udah mau 2 hari sperti itu Trooss.. kenapa dan ada apa..???????? GK jelas LG skrang BCA mobile.. buat perlama aktifitas skrang ini,4,20,2.4.1
sangat membantu dalam transaksi,5,0,4.6.0
Mohon bantuannya BCA mobile saya tdk bisa saya buka di HP saya baik samsung A22 maupun A31. Sudah tlp call center maupun chat wa BCA tp tdk ada solusi. Mohon solusinya. Terimakasih,1,1,4.4.3
"Ini gimana cara aktif kan nya,aku uda download mbca,trus uda ku masuk kan 6 digit no kartu ku,trus gimana lagi ni biar bisa aktif,bisa di pakai gitu,tolong dong beritahu,maklum lah baru baru",3,0,1.7.1
"Mohon, jika ada pemeliharaan system, usahakan dikasih pemberitahuan terlebih dahulu, baik malelaui email atau selainnya, biar tidak menganggu terhadap transaksi. Jangan mendadak dan tiba-tiba. Terima kasih",3,1,4.1.0
"Aneh kok harus register trus ??? 🙄🤐🤔ga bisa masuk aplikasi Udah instal ulang,download ulang,di Res stars ulang tetap ajaaaa Mohon diperbaiki aplikasinya bikin pusing 😱🙏",1,0,2.5.5
"Bagus sih, tapi kenapa jadi nggak bisa top up langsung di bca mobile? Sebelumnya bisa pas dibawah nominal saldo flazz ada pilihan top up tapi sekarang jadi hilang??? Mohon bantuannya",4,1,2.4.2
"Top mantap upadate terbarunya,ini fitur yang saya tunggu tunggu ,simple ga ribet, shortcut kesemua menu,, ajib,,👍👍👍👍",5,0,2.4.3
"Selama menggunakan m mobile bca semakin membantu untuk proses transfer dan pembayaran. Jika ada trouble, biasanya karena akses internet yg berganti dari sim 1 ke 2. Jadi trouble. Harus di reset lagi..",5,0,
saya coba daftar rekening baru dan ikutin petunjuk nya semua tapi sampai di menu vidio call saya nga pernah dilayanin...ini beneran nga sih bisa buka rekening via ONLINE...???atau cuman MODUS saja biar retingnya NAIK KAYAK ARTIS GITU LHOOOK....!!!,1,1,2.2.0
Setelah sya mengupdate aplikasinya kok sya tidak bsa melihat info saldo nya ya ? ada blok hitam yang menutupi informasi saldonya . itu bgaimana ya ? terima kasih .,3,0,2.0.0
"BCA mobile sangat membantu aktifitas,tapi sayang terlalu pendek waktu update aplikasi. Selain banyak buang kuota juga banyak buang waktu yang amat berharga. Jadi saya mohon jadwal update untuk dilonggarkan. Terima kasih.",4,0,2.5.2
sangat membantu... andai aja bisa jemput setoran tunai jd gak perlu juga dateng ke bank 😁😁😁.. untuk IT BCA tambah menu penambahan limit transaksi dong dim-BCA,5,0,
"2 bulan terakhir ini, menambahkan nomor rekening baru selalu gagal, padahal aplikasinya sudah versi terbaru, mohon ditindaklanjuti errornya, terimakasih",4,0,1.8.0
Dasar Bangke pembodohan no layanan katanya pindah ke 89888 tapi tetap gak bisa login! dari aplikasi dikasih no 69888 sampe pulsa 20k tetap gak bisa login!,1,0,
"saya kok gak bisa masuk ya, loading terus ? kuota ada pulsa ada, semenjak ke unistal abis itu download lagi, pas masuk loading terus",1,0,2.0.4
"Mau cek saldo m banking diminta utk update versi terbaru,tp sy update ga bs"" jd skrg jgnkan utk transfer dll, cek saldo aja ga bs..tolong dipermudah",2,0,2.2.2
Halah dikit2 update dikit update. Blm 1 bulan udh mnta update lg. Udh di update malah jd ngk bsa masuk. Bukanbya makin bagus ibi makin jelek.,1,1,2.0.3
Ini kenapa si... BCA minta update mulu... Baru juga semnggu update...apa kurang gercep ya buat update. Demi BCA aplikasi dihapus2in.. Giliran udah... Malah ga mau kebuka... Entahlah...,4,0,2.5.3
"setelah diupdate selalu force close, udah 3 hari tidak bisa dibuka, untuk pengguna tanpa kartu seperti saya, saya sangat kesusahan",1,0,
"Programnya bagus, pengunaanjuga savety tapi tidak bisa transfer selalu bilang saldo tidak mencukupi !",1,0,2.7.5
Sering banget pemeliharaan di atas jam 12 malam sampe pagi. Saking sering nya bisa hampir tiap hari.. padhaal lagi butuh butuh nya.,1,0,
"Saya mau komplen tgl 2 Agustus 2023 jam 5 sorean terjadi gagal transaksi di EDC BCA saya. sebenarnya itu gak masalah, yg jadi masalah itu saat saya telpon hallo BCA di 1500888 biar pengen tau kenapa bisa gagal bayar, dan pas saya TLP hallo BCA udah saya ikutin step2nya biar bisa terhubung ke CS, malah ujung2nya selalu yg jawab sistem ""gak bisa dihubungi (pake bahasa inggris) udah 3x saya coba telpon tapi gabisa nyambung2.. emg CS BCA gak 24jam kerjanya? Gimana siih",3,0,4.1.2
"Setiap Buka Aplikasi BCa, selalu minta verifikasi melalui SMS ya..... Itupun harus punya saldo Pulsa setiap kirim Sms utk verifikasi. Ribet amat Aplikasi BCa tidak seperti Bank yang lain. . .",3,0,4.0.2
Terimakasih BCA atas layanannya. Saya sangat terbantu karena BCA selalu memberikan solusi terbaik untuk masalah keuangan saya yang tidak seberapa ini. Semoga layanannya tetap terjaga dan makin baik terus ke depannya.,5,0,2.9.5
Dari kemarin ga bisa masuk ke aplikasi dgn keterangan transaksi tidak dpt dilakukan skrg... knp makin lama kok malah makin payah yaa,4,1,2.2.5
SAYA MAU TY DUNG. INI KNP UNTUK MASUK K BCA MOBILE PAS VERIFIKASI MLALUI SMS TIDAK BISA SLALU KATA2NYA PASTIKAN SMS YG ANDA DPT TDK DPT DR YANG LAIN. INI NO ASLI AKUN ASLI. JDCSALAHNYA DIMANA. THANKS. NTI KL SDH BISA BARU TA RUBAH BINTANG 5 TERIMAKASIH.,1,0,
Sudah instal dan isi data ko pas VC susah g nyambung terus padahal pake SIM card 1 yg terhubung dgn m.banking juga ada pulsa JARingan bagus .mohon ditinjau permohonan saya ..mf saya kasih bintang 1 ..🙏,1,1,2.7.2
"Kenapa saya beli voucher tsel ngak masuk2 pulsanya, tapi saldo sudah berkurang. Saya harus menghubungi kemana?",3,0,4.5.1
Aplikasi gak bisa di buka ketika nomor yang udah mati kita cabut dari hp padahal nomor yang terdaftar masih lengket di hp gimana mau pakai kartu lain kalau kartu yang udah mati gakbisa di keluarin,3,0,4.0.0
"Aneh sekali BCA mobile, selalu jaringan terputus. Padahal kartu di sim 1, no hp sesuai yg terdaftar, jaringan full, pulsa 10 rb tetapi selalu gagal. Karena saya merasa putus asa, saya pindah pakai mobile bank lain, satu kali install langsung berhasil.",1,52,2.8.9
Saya mau cek saldo di rekening saya tapi tidak bisa di karenakan indikator nya berwarna merah. Mohon pihak bca untuk memperbaiki indikator saya supaya saya bisa mengecek saldo bca saya. Terimakasih 🙏,2,0,4.0.3
habis di upgret malah dibuka gak bisa... waktu dibuka nutup sendiri gimana ini sudah 2 hari sudah Uninstal 2x sampai Instal ulang tetap sama aja tolong diperhatikan 🙏,4,0,
"Cukuplah updatenyaa, baru minggu lalu update ini update lagi. Skrng makin lemooot cma bagus si skrng ga perlu pakai pulsa lg klo mau daftarin rek baru. Jika updatean lebih baik nanti dikasih bintang 5.",3,0,2.5.3
"BCA Kren bagus Dari pelayanan sampe Registrasi pun di buat Simpel Mau daftar jadi nasabah, atau bikin kartu semua serba Digital mudah tidak perlu Repot repot ke kantor cabang, bagi kita yang sibuk tidak ada waktu, Semua SERBA DIGITAL... Mantap tingkat kan terus pelayanan Bagus.",5,1,4.1.5
kenapa setelah update malah ga bisa dibuka?,3,0,4.4.3
Saran saja mungkin bisa di tambah Akses login dan pin ada tambahan pilihan pake sidik jari . Seperti punya nya brimo sangat membantu dan lebih cepat,5,0,4.1.5
kadang suka gk bisa bwt masukin utk daftar no rekening bank bca maupun ke bank yg berdeda.. keterangan koneksi gagal trs.. pdhl sinyal oke dan no hp tdk prnh ganti..,4,0,1.7.0
"Mau nanya Admin, kenapa dibulan Oktober untuk pembayaran BPJS kesehatan tidak bisa, tertera nomor bayar salah, padahal sudah benar, untuk pembayaran bulan sebelumnya sukses. Thanks mohon pencerahannya.",4,0,2.2.3
ini bca lagi kenapa sih??perasaan udah di update.terus tiba2 mau transfer disuruh update versi baru lagi. kemarin2 lancar2 ajah ga ginih.,1,0,2.5.2
kepanasan setelah instal ko gak bisa padahal pake wifi keterangan jaringan pake kuota pun keterangan jaringan terus,2,0,
Tolong kepada pihak bca segera di tangani errornya sangat menganggu ini masa keselas bca apk ya error,5,0,4.5.1
"hari ini saya sukses buka rekening baru bank BCA lewat BCA mobile. dan saya ingin penjelasan nya, saya di suruh stor awal tanpa minimal transaksi. ok lah saya transfer melalui saldo dana saya sebesar Rp 200.000. Tapi setelah saya sukses transfer, pas saya coba cek saldo. kenapa saldo saya ada Rp 150.000. Tolong Penjelasan nya. Terimakasih",5,0,2.1.0
"Buat rekening baru di bca mobile sampai beberapa tahapan selesai, tapi waktu di suruh vidio call yang keluar malah musik. Di tunggu beberapa lama, gada sama sekali muka CS yg keluar",1,0,2.7.6
Sangat bagus dan memudahkan castamer,5,0,4.5.9
Setelah Update malah Aplikasi nga bisa terbuka close2 sendiri Tolong di benahi upadate baru yaa Saya buka di Hp Android lain juga sama aja Kecuali iOS aman jaya,1,0,
Kenapa ya m bca saya ga bisa transaksi apa2,5,0,4.5.9
"Minta verifikasi, tapi gagal terus. Dengan alasan Koneksi Terputus. Padahal Jaringan Internet sangat kuat. Selalu mengulang-ulang dan mengirimkan SMS berbayar. BCA Mobile makin hari bukan makin bauk, tapi malah makin 👎👎",1,3,2.8.9
kenapa sering minta verifikasi ulang terus ?,3,0,4.6.0
Parah top up krtu flazz melalui M.BCA saldo tidak masuk di kartu Flazz. Tetapi saldo rek terpotong. Dan sampai sekarang tidak kembali. Saya sudah menghubingi halo BCA berulang kali tapi tetap uang saya tidak kembali. Padahal jelas di mutasi rek dan kartu flazz saya terlihat.,4,0,4.0.2
Sangat menyenangkan pakai bca ..,5,0,4.5.9
Sangat mempermudah..terimakasih,5,0,4.6.0
Masih Belom bisa isi Flazz lewat Aplikasi BCA mobile ini. Kasi dong teknologi biar isi Flazz lewat BCA mobile banking ini biar mempermudah disaat perjalanan. Masa cuma buat cek uang doang payah,1,0,
